tool,instance,well,folder_label,onset_kind,fold,n_baseline_scored,baseline_max,pre,post0,post1,refusal
mad,WELL-00001_20140124083303,WELL-00001,1,transient,4,3,0.8998734211198801,36.17391719374722,2805.03968889238,4247.271626875026,
mad,WELL-00001_20170226130146,WELL-00001,7,transient,4,3,0.9001385771924016,1.7978244607139793,3.5931962277571343,4.4908821112787125,
mad,WELL-00002_20140212160333,WELL-00002,6,transient,3,3,1.4149643106411183,1.4477245355430495,3.3040932474358105,1.5236807021506997,
mad,WELL-00006_20170731170930,WELL-00006,1,transient,2,3,1.581770365143357,1.7987728927058209,3.597284050541841,5.33623662806867,
mad,WELL-00006_20180617190257,WELL-00006,1,transient,2,3,0.8993511144232711,1.7986721270587314,3.961565979710721,11.669543924715548,
mad,WELL-00014_20160304155906,WELL-00014,9,transient,2,3,3.563070751148101,2.9558063408952955,7.149602050444145,9.246499905220995,
mad,WELL-00014_20160306070000,WELL-00014,9,transient,2,3,1.507814854371529,2.576325616987595,5.768431512117575,7.727070783313105,
mad,WELL-00019_20120601165020,WELL-00019,8,transient,3,3,0.8671987873114849,0.8376708762612223,107.7393268709084,176.95180499224654,
mad,WELL-00019_20141117190526,WELL-00019,8,transient,3,3,0.7745477597128966,1.2476201988834237,117.82864376956253,538.9404476543475,
mad,WELL-00019_20150614025713,WELL-00019,8,transient,3,3,1.4583439896819614,0.6385361568131075,64.96005944443822,74.04491610516146,
mad,WELL-00019_20210617032654,WELL-00019,8,transient,3,3,0.061181528445838934,0.4498435928431038,167.80209606242403,212.47886998410667,
mad,WELL-00021_20180611011218,WELL-00021,7,transient,3,3,1.1501474554150939,2.841524542616357,2.3021592082014397,14.751105552340979,
mad,WELL-00021_20190403013307,WELL-00021,7,transient,3,3,5.197261914843718,10.360645830593858,22.436171110718096,32.03493104541219,
mad,WELL-00022_20180802233838,WELL-00022,7,transient,0,3,1.0120193007427296,21.961942223554104,21.961942223554104,21.962948175469805,
mad,WELL-00022_20180912025800,WELL-00022,7,transient,0,3,12.425571329060695,13.178536966795559,12.551393263352157,20.86522501606422,
mad,WELL-00022_20180919003240,WELL-00022,7,transient,0,3,1.3494875135214401,10.29681306210926,5.903438627767019,4.081858182068788,
mad,WELL-00022_20180925003447,WELL-00022,7,transient,0,3,2.360717658167551,1.3702358398664125,1.7346291035936492,3.200083936627456,
mad,WELL-00022_20181007080700,WELL-00022,7,transient,0,3,2.2498013999415303,2.5855479113253863,0.6969737847919422,4.154269246612261,
